,Image,Labels
0,train\Healthy\800edef467d27c15.jpg,Healthy
1,train\Healthy\801d6dcd96e48ebc.jpg,Healthy
2,train\Healthy\802b59956a7aa5e7.jpg,Healthy
3,train\Healthy\803bcb65f486e39a.jpg,Healthy
4,train\Healthy\803e60cf3c64e1fe.jpg,Healthy
5,train\Healthy\804e1eda54919fbb.jpg,Healthy
6,train\Healthy\804e673e9ec3d12b.jpg,Healthy
7,train\Healthy\809e3fc0cbac7c59.jpg,Healthy
8,train\Healthy\80a13fcd9a4fb14b.jpg,Healthy
9,train\Healthy\80a2c93fd2d9655d.jpg,Healthy
10,train\Healthy\80a4c7f6ad9a55d8.jpg,Healthy
11,train\Healthy\80a5a17f5e48697d.jpg,Healthy
12,train\Healthy\80a7cecb3616b633.jpg,Healthy
13,train\Healthy\80aa53172b9fc78d.jpg,Healthy
14,train\Healthy\80aaeaaa275d5e36.jpg,Healthy
15,train\Healthy\80abc9d697ec22b6.jpg,Healthy
16,train\Healthy\80acda383e3367cd.jpg,Healthy
17,train\Healthy\80af5fce149ca4f4.jpg,Healthy
18,train\Healthy\80af63966d9272e9.jpg,Healthy
19,train\Healthy\80b075dfc24bb725.jpg,Healthy
20,train\Healthy\80b0b0dacf697db4.jpg,Healthy
21,train\Healthy\80c190d95bf963f6.jpg,Healthy
22,train\Healthy\80c23fcf63786e70.jpg,Healthy
23,train\Healthy\80c61d6b492d76b7.jpg,Healthy
24,train\Healthy\80cac5abcfa9c9b4.jpg,Healthy
25,train\Healthy\80d72f999a956d86.jpg,Healthy
26,train\Healthy\80dcc12cc917ef5d.jpg,Healthy
27,train\Healthy\80decb70b3295bb2.jpg,Healthy
28,train\Healthy\80e2c3d2afc9782f.jpg,Healthy
29,train\Healthy\80eb96948bd68f9a.jpg,Healthy
30,train\Healthy\80f4549ce81eefe1.jpg,Healthy
31,train\Healthy\80f515f574cb609e.jpg,Healthy
32,train\Healthy\80f816d6cecb8b87.jpg,Healthy
33,train\Healthy\811b2bd335e9cb16.jpg,Healthy
34,train\Healthy\812a9ac1796bf5c3.jpg,Healthy
35,train\Healthy\812e5f86f61ec31c.jpg,Healthy
36,train\Healthy\813b28597df0abd2.jpg,Healthy
37,train\Healthy\813fe22dc37e4750.jpg,Healthy
38,train\Healthy\816b93c24a07f6de.jpg,Healthy
39,train\Healthy\816d69d2153fe84b.jpg,Healthy
